corp_empl,description_corps_empl,categorie
1000,directur général,Cadres
1001,directur général adjoint,Cadres
1030,ÉP-directur général,Cadres
1031,ÉP-directur gén.adjoint,Cadres
1101,directur général,Cadres
1102,directur général adjoint,Cadres
