id_indicateur,description_indicateur,code_matiere,no_competence
1.1.1.4,"Proportion d’élèves qui obtiennent entre 70 % et 100 % à l’épreuve obligatoire de lecture en français, langue d’enseignement, 4e année du primaire (réseau francophone, public)",FRA400,1
1.1.1.5,"Proportion d’élèves qui obtiennent entre 70 % et 100 % à l’épreuve obligatoire de mathématique (compétence Résoudre),  6e année du primaire (réseaux publics francophone et anglophone)",MAT600,1
1.1.1.6,"Proportion d’élèves qui obtiennent entre 70 % et 100 % à l’épreuve obligatoire d’écriture en français, langue d’enseignement, 2e année du secondaire (réseau francophone, public)",132208,2
